code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
535010;Běleč;262;181;181;61;0;0;0;1;11;6;0;23;1;2;0;0;1;0;13;1;0;1;8;11;0;22;19;0;0
532070;Běloky;135;102;101;21;0;0;0;0;12;3;0;12;0;0;0;0;0;0;6;0;3;1;9;8;0;16;10;0;0
532088;Beřovice;272;152;152;50;1;0;0;0;6;0;0;21;0;3;0;0;0;1;13;0;2;3;17;5;0;18;12;0;0
535125;Bílichov;155;99;99;33;0;0;0;0;14;1;0;7;0;0;0;0;0;0;10;1;4;0;8;4;0;8;9;0;0
532100;Blevice;243;172;171;26;0;0;0;1;40;4;0;11;2;3;0;0;0;1;13;1;2;3;14;8;0;22;19;0;1
532118;Brandýsek;1438;894;883;266;3;1;0;2;83;10;0;99;4;7;1;0;1;2;49;3;13;14;98;28;0;128;70;0;1
532126;Braškov;847;625;619;164;0;0;0;2;54;13;0;90;3;5;0;0;0;2;40;0;7;11;41;51;0;101;35;0;0
532185;Cvrčovice;568;354;353;88;0;0;0;0;45;7;0;53;4;3;1;0;0;0;20;1;5;2;41;19;0;41;22;0;1
532223;Doksy;1263;811;806;222;0;0;0;0;61;14;1;131;5;8;2;0;2;3;53;1;24;14;78;44;0;108;33;0;2
513130;Dolany;188;131;129;27;0;0;0;0;6;2;0;16;3;2;0;0;0;1;20;2;1;1;12;10;3;14;9;0;0
512991;Drnek;141;100;100;19;1;0;0;0;15;4;0;13;0;1;0;0;0;0;16;0;1;0;17;2;0;7;4;0;0
532274;Družec;830;564;563;156;1;1;0;0;40;8;0;92;1;4;2;0;0;4;42;2;10;3;48;39;0;66;43;0;1
532282;Dřetovice;366;226;224;59;1;0;0;0;34;0;1;19;1;2;0;0;1;1;7;0;4;4;41;9;0;24;16;0;0
